site_name,What does the respondent call the site?,governorate,district,subdistrict,site_typology,Is this a single or clustered site?,How many sites are there?,coordinates_latitude,coordinates_longitude,background/hhs_clusterd_dispersed,background/date_first_occupied,background/date_majority_arrived,hh/total_families,hh/total_population,hh/total_females,hh/total_children,hh/total_schoolagedchildren,vulnerabilities_groups/F_HoH,vulnerabilities_groups/Child_HoH,vulnerabilities_groups/unaccompanied,vulnerabilities_groups/ppl_physical_dis,vulnerabilities_groups/ppl_chronic_disease,vulnerabilities_groups/preg_or_lac,vulnerabilities_groups/elderly_at_risk,background/governorate_aoo,background/district_aoo,background/location,background/date_of_firstdeparture,social_cohesion/intentions_three,social_cohesion/intentions_twelve,social_cohesion/reasons_not_to_return,shelter_type/types,shelter_type/damaged_inneedof_repairs,shelter_type/main_priority_concerns,shelter_type/payingrent,shelter_type/tenancy_agreement,social_cohesion/eviction,Which actors are trying to forcibly evict the site residents?,What are the main reasons that these households are at risk of forcible eviction?,physical_conditions/overcrowding,physical_environment/dis_access,physical_environment/electric,physical_environment/elec_concerns,physical_environment/fire_equipment,physical_environment/mines,Which services/ assistance are needed most urgently in the site (select up to 3)?,Have any services or assistance been provided to the site in the last 3 months?,(if yes) What type of assistance (select all that apply)?,(if yes) From who? (select all that apply)?,Do households in the site need more information on how to access needed services?,sanitation/drinking,sanitation/water_acceptable,"In the last 30 days, were any households unable to access their primary source of drinking water?",(If yes) How many households experienced access issues?,(If yes) For how many days on average (in the last 30)?,"(if yes) How do households cope with lack of access i.e. buy water, rely on communal tanks etc (select all that apply)?",latrines/functional_types,showers/functional_types,sanitation/open_def,Were any households unable to access or afford basic hygiene items in the last 30 days?,sanitation/flooding,sanitation/wastecollection,What were the main health issues experienced by site residents in the last 30 days (select all that apply)?,health/functional_clinic_within_5km,"In what area is it located i.e. town, sub-district",health/emergency_services,health/surgical_services,health/pediatric_services,health/prenatal_services,health/functional_hospital_within_10km,"In what area is it located i.e. town, sub-district","In your opinion, what are the barriers to accessing healthcare services  from the site?",health/ambulance,Have there been any vaccination campaigns providing vaccinations in the last 6 months at the site?,food_security/food_access_in_last_7_days,food_security/main_concern,food_security/pds,livelihoods/markets,(if yes) How far away (km)?,"In the last 30 days, were there any basic food or non-food items that were not affordable to the average household?",What are the primary sources of livelihoods people in the site have access to / are engaging in?,"In your opinion, what are the barriers to accessing livelihoods/income generating opportunities from the site ?",Approximately what proportion of minors (under the age of 18) from the site worked in the last 30 days?,education/primary_school_in_sites,(if yes) How far away (km)?,(if yes) Are there sufficient certified teachers?,education/secondary_school_in_sites,(if yes) How far away (km)?,(if yes) Are there sufficient certified teachers?,education/school_aged_children_able_to_access_school,"In your opinion, what are the primary challenges to accessing formal education?",How many school-aged children have not been attending formal education in the last school year?,"Are any groups of children less able to access formal or non-formal education i.e. high-school aged boys or girls, or children with disabilities?",protection/movement_restrictions,social_cohesion/tension,protection/security_incidents,protection/safety,protection/facilities_services_disability,protection/facilities_services_mental_disability,"Are there adequate mental health and psycho-social support services available for persons in the site, through government, humanitarian or private service providers?",protection/civil_documents,protection/accessible_courts,_id,_uuid,_submission_time,_validation_status,_index,admin3Na_1,admin3Pcod,admin2Pcod,admin1Pcod
Seji unfinish buildings 4,Seji,Duhok,Sumail,Markaz Sumail,Dispersed settlements,Single,,36.9044379,42.88702962,IDP households are dispered,9/1/2014,9/1/2014,16,224,128,50,80,3,0,0,4,60,30,30,Ninewa,Sinjar,Sunjar,8/1/2014,Stay at site,Stay at site,"Security concerns: Lack of security forces Security concerns: Presence of explosive hazards (mines, bombs, IEDs) Security concerns: Fear of discrimination",Unfinished and abandoned Residential building,All shelters (100%),"Improve privacy and dignity (no separate rooms, not enough space, shared facilities such as toilets & showers, low/high ceilings, lack of ventilation, lack of natural lighting) Improve basic infrastructures and utilities (access to electricity, cooking and bathing/toilet  facilities) Improve structural stability of the building (signs of failure such as leaning walls, big cracks and bends in structural components  - beam, slab, column, rafter, purlin and wall risk of falling debris)",Less than half (25%-49%),No tenancy agreement,Don't know,,,No,"Yes, but with difficulty (steep routes, too many stairs, etc.)",All have access (100%),Poor wiring Overloaded circuits,None,Neither present in or around the site,"Cash Food assistance Health services i.e. mobile clinics, pre or post-natal appointments",Yes,Food assistance NFIs,Government assistance,Yes,Municipal water network (private access),Yes,No,,,,Private latrines,Private showers,No,No,No,No,"Skin diseases (scabies, contagious rashes, etc.)",No,,,,,,No,,Cost of healthcare was too high Insufficient funds to purchase treatment/ medication Cost of transport was too high,No,Yes,Less than half (25%-49%),"Limited access to food due to physical/logistical constraints (e.g. damaged roads, no vehicles, long distance) Limited access to food due to limited economic resources",Yes,No,,,Unskilled agricultural albour Unskilled wage labour,Increased competition for jobs; not enough jobs for everyone Underqualified for available jobs,40,Yes,1,Yes,Yes,1,Yes,50,Children have to work to cope with lack of food,Less than half (25%-49%),Female high school Children with disabilities,None,No,No,Yes,No,No,No,Less than a quarter (1%-24%),20,66824848,abc52c6b-7d86-496f-afc4-3b3df7659fa5,2019-09-05T13:49:41,,96,???? ????,IQG09Q03N03,IQG09Q03,IQG09
Seji unfinish buildings 3,Seji,Duhok,Sumail,Markaz Sumail,Dispersed settlements,Single,,36.90870645,42.89139455,IDP households are dispered,4/1/2014,8/1/2014,70,467,212,125,250,14,0,0,10,20,40,20,Ninewa,Sinjar,Snjar,8/1/2014,Stay at site,Stay at site,"Security concerns: Lack of security forces Security concerns: Presence of explosive hazards (mines, bombs, IEDs)",Unfinished and abandoned Residential building,Nearly all shelters (75-99%),"Improve privacy and dignity (no separate rooms, not enough space, shared facilities such as toilets & showers, low/high ceilings, lack of ventilation, lack of natural lighting) Protect from climatic conditions (leaking roof, floor not insulated, opening on the walls, broken windows, lack of ventilation, missing heating system, etc.) Improve structural stability of the building (signs of failure such as leaning walls, big cracks and bends in structural components  - beam, slab, column, rafter, purlin and wall risk of falling debris)",Most households (50%-74%),Verbal tenancy agreement,Yes,Private owner,Request to vacate from owner of building/land,No,"Yes, but with difficulty (steep routes, too many stairs, etc.)",All have access (100%),Overloaded circuits,None,Neither present in or around the site,Cash Food assistance Fuel,No,,,Yes,Municipal water network (private access),Yes,No,,,,Private latrines,Private showers,No,Yes,No,No,None,No,,,,,,No,,Cost of healthcare was too high No transport available,Yes,Yes,Nearly all have access (75%-99%),"Limited access to food due to physical/logistical constraints (e.g. damaged roads, no vehicles, long distance)",Yes,No,,,Unskilled agricultural albour Unskilled wage labour,Increased competition for jobs; not enough jobs for everyone Available jobs are too far away Underqualified for available jobs,50,Yes,1,Yes,No,,No,50,Long distance to travel to school Children have to work to cope with lack of food,Less than a quarter (1%-24%),Female middle school Male high school Female high school,None,No,No,Yes,No,No,No,Less than a quarter (1%-24%),7,66684123,16448382-9afa-4b54-bc21-a304022d0ae0,2019-09-04T13:11:25,,67,???? ????,IQG09Q03N03,IQG09Q03,IQG09
Kherava 1,Kherava 1,Duhok,Sumail,Sindi,Dispersed settlements,Single,,36.77525558,42.78339711,IDP households are dispered,8/1/2014,8/1/2014,18,136,80,23,48,1,1,0,1,2,7,4,Ninewa,Sinjar,Sinjar/sunny,8/1/2014,Stay at site,Stay at site,"Security concerns: Fear/trauma associated with returning to place of origin Security concerns: Presence of explosive hazards (mines, bombs, IEDs) Basic services in the area of origin are not enough/available (electricity, water, health)",Unfinished and abandoned Residential building Tent,Most shelters (50%-74%),"Protect from climatic conditions (leaking roof, floor not insulated, opening on the walls, broken windows, lack of ventilation, missing heating system, etc.) Improve basic infrastructures and utilities (access to electricity, cooking and bathing/toilet  facilities)",Nearly all households (75%-99%),Verbal tenancy agreement,Yes,Private owner,Lack of funds to pay rental costs Request to vacate from owner of building/land,No,"Yes, but with difficulty (steep routes, too many stairs, etc.)",Nearly all have access (75%-99%),Poor wiring Electrical sockets near water,None,Neither present in or around the site,"Food assistance Winterization items Health services i.e. mobile clinics, pre or post-natal appointments",No,,,Yes,Municipal water network (communal access),No,No,,,,Private latrines,Private showers,No,No,No,Yes,None,No,,,,,,No,,Faciltiies were too far away Insufficient funds to purchase treatment/ medication Cost of transport was too high,Yes,Yes,Less than a quarter (1%-24%),"Limited access to food due to physical/logistical constraints (e.g. damaged roads, no vehicles, long distance)",Yes,Yes,3,Everything needed is available,Casual unskilled labour Self-employment Public sector/ civil servant Pension from government,Increased competition for jobs; not enough jobs for everyone Available jobs are too far away Lack of family/personal connections,25,Yes,1,Yes,Yes,1,Yes,75,"Physical/ logistical constraints Limited economic resources (e.g. to pay for school fees, uniform, transport, books, etc) Children have to work to cope with lack of food",Less than a quarter (1%-24%),Male middle school Female middle school Male high school Female high school Children with disabilities,None,Yes,No,Yes,No,No,No,Less than a quarter (1%-24%),12,67314343,5cab5e6b-802c-4c0d-9e37-b0e2dc0c636f,2019-09-10T12:53:34,,186,????,IQG09Q03N04,IQG09Q03,IQG09
Old Mam Shvana - Mam Shvan village,Mam Shvan,Duhok,Sumail,Sindi,Dispersed settlements,Cluster,5,36.80305248,42.77460667,IDP households are dispered,9/1/2014,9/1/2014,75,428,278,100,55,1,0,0,1,1,10,10,Ninewa,Sinjar,Snona,8/1/2014,Stay at site,Stay at site,"Security concerns: Fear/trauma associated with returning to place of origin Security concerns: Presence of explosive hazards (mines, bombs, IEDs) Security concerns: Fear of discrimination Basic services in the area of origin are not enough/available (electricity, water, health)",Unfinished and abandoned Residential building Tent,Nearly all shelters (75-99%),"Improve safety and security (shelter located in an insecure/ isolated area, shelter not solid enough to offer protection from intruders, not fenced, without security of tenure, etc Protect from climatic conditions (leaking roof, floor not insulated, opening on the walls, broken windows, lack of ventilation, missing heating system, etc.) Improve structural stability of the building (signs of failure such as leaning walls, big cracks and bends in structural components  - beam, slab, column, rafter, purlin and wall risk of falling debris)",No households (0%),No tenancy agreement,No,,,Yes,"No, the site is not accessible",All have access (100%),None,None,Neither present in or around the site,"Winterization items Fuel In-kind shelter assistance i.e. tarpaulines, tents",Yes,Food assistance NFIs WASH (water),Government assistance,Yes,Municipal water network (communal access),No,No,,,,Private latrines,Private showers,No,No,No,Yes,None,No,,,,,,No,,Faciltiies were too far away No transport available Cost of transport was too high,Don't know,Yes,No households (0%),None,Yes,No,,,Subsistence agriculture Unskilled agricultural albour,"Increased competition for jobs; not enough jobs for everyone Only low-skilled, socially degrading or low-paid jobs are available Lack of family/personal connections",75,Yes,1,Yes,No,,Don't know,85,Not enough schools or classrooms Long distance to travel to school,Less than a quarter (1%-24%),Male middle school,None,No,No,Yes,No,No,No,Nearly all households (75%-99%),60,67454386,04a73813-77ce-4ce7-a680-b9a67520f7f5,2019-09-11T12:53:36,,216,????,IQG09Q03N04,IQG09Q03,IQG09
Shariya - Rekafa village IS 1,Khalaf kamo alman,Duhok,Sumail,Sindi,Dispersed settlements,Cluster,6,36.77017838,42.98371561,IDP households are dispered,8/1/2014,8/1/2014,103,468,268,200,170,10,25,0,20,25,20,2,Ninewa,Sinjar,"Snone, qahtany , sinjar center",8/1/2014,Stay at site,Stay at site,"Security concerns: Lack of security forces Security concerns: Presence of explosive hazards (mines, bombs, IEDs) Lack of livelihood/income generating activities in AoO House has been damaged/destroyed",Unfinished and abandoned Residential building Tent,All shelters (100%),"Improve safety and security (shelter located in an insecure/ isolated area, shelter not solid enough to offer protection from intruders, not fenced, without security of tenure, etc Improve privacy and dignity (no separate rooms, not enough space, shared facilities such as toilets & showers, low/high ceilings, lack of ventilation, lack of natural lighting) Protect from climatic conditions (leaking roof, floor not insulated, opening on the walls, broken windows, lack of ventilation, missing heating system, etc.)",No households (0%),No tenancy agreement,No,,,No,"No, the site is not accessible",All have access (100%),Poor wiring,None,Neither present in or around the site,Cash Food assistance Shelter rehabilitation,No,,,Yes,Connected to a borehole or well with functioning pump,Yes,No,,,,Communal latrines,Communal showers,No,No,No,No,Numerous cases of diarrhea Numerous cases of fever,No,,,,,,No,,Cost of healthcare was too high Faciltiies were too far away Insufficient funds to purchase treatment/ medication,No,Yes,No households (0%),"Limited access to food due to physical/logistical constraints (e.g. damaged roads, no vehicles, long distance) Limited access to food due to limited economic resources",Yes,No,,,Unskilled agricultural albour Unskilled wage labour Casual unskilled labour,Increased competition for jobs; not enough jobs for everyone,50,No,,,No,,,60,"Not enough schools or classrooms Long distance to travel to school Limited economic resources (e.g. to pay for school fees, uniform, transport, books, etc)",Less than half (25%-49%),Male middle school Female middle school Male high school Female high school Children with disabilities,No money for transportation cost,No,No,Yes,No,No,No,Nearly all households (75%-99%),200,66825703,cd0eb10e-4b87-48cf-a9cb-41d195142169,2019-09-05T13:53:33,,110,????,IQG09Q03N04,IQG09Q03,IQG09
Sankur - Albo Ali,Meshaan Mohammed Ali,Salah Al-Din,Tooz Khurmato,Markaz Tooz Khurmato,Dispersed settlements,Single,,35.00848992,44.53930623,IDP households are dispered,7/1/2014,1/1/2015,40,740,290,116,57,4,0,0,2,10,6,0,Salah al-Din Diyala,Tooz,Villeges from inside,12/1/2014,Stay at site,Stay at site,Security concerns: Fear/trauma associated with returning to place of origin Movement restrictions (do not have proper paperwork to relocate),House,Less than a quarter shelters (1%-24%),"Improve safety and security (shelter located in an insecure/ isolated area, shelter not solid enough to offer protection from intruders, not fenced, without security of tenure, etc Protect from climatic conditions (leaking roof, floor not insulated, opening on the walls, broken windows, lack of ventilation, missing heating system, etc.)",Less than half (25%-49%),Written valid tenancy agreement (expired),Don't know,,,No,"Yes, without any problem",Nearly all have access (75%-99%),Not enough electricity supply to the whole site,None,Neither present in or around the site,Cash NFIs,No,,,Yes,Municipal water network (communal access),Don't know,No,,,,Communal latrines Private latrines,Communal showers Private showers,No,Yes,No,No,Numerous cases of diarrhea Typhoid,No,,,,,,No,,No qualified healthcare professionals Medication not available Cost of transport was too high,Yes,Yes,Most households (50-70%),"Limited access to food due to physical/logistical constraints (e.g. damaged roads, no vehicles, long distance) Limited access to food due to limited economic resources",Yes,Yes,1,"Basic food items Tools, hardware and materials",Commercial agriculture Self-employment,"Only low-skilled, socially degrading or low-paid jobs are available Lack of family/personal connections",4,No,,,No,,,45,Not enough schools or classrooms Long distance to travel to school Children have to work to cope with lack of food,Most children (50-74%),None,None,Don't know,No,Yes,No,No,No,Less than a quarter (1%-24%),14,66804087,de9d77cf-def3-41a0-91a6-25d01325de33,2019-09-05T11:47:04,,81,???? ??? ???????,IQG16Q07N02,IQG16Q07,IQG16
Al-Shahama Village - Near of al shahama school,Ahmad Abu Jaber,Salah Al-Din,Tikrit,Um Al-Qura,Collective centre,Single,,34.69647453,43.62712607,IDP households are dispered,1/1/2016,9/1/2016,50,50,25,15,15,12,0,0,0,0,0,0,Salah al-Din Diyala,Baiji,Alsiniya,9/1/2016,Don't know,Don't know,Security concerns: Fear/trauma associated with returning to place of origin Security concerns: Lack of security forces Security concerns: Fear of discrimination,Unfinished and abandoned Residential building,No shelters (0%),"Improve privacy and dignity (no separate rooms, not enough space, shared facilities such as toilets & showers, low/high ceilings, lack of ventilation, lack of natural lighting) Protect from climatic conditions (leaking roof, floor not insulated, opening on the walls, broken windows, lack of ventilation, missing heating system, etc.)",No households (0%),Don't know,No,,,No,"Yes, without any problem",Nearly all have access (75%-99%),None,None,Neither present in or around the site,Food assistance Fuel,No,,,No,Municipal water network (communal access),No,Don't know,,,,Private latrines,Private showers,No,No,No,No,"Skin diseases (scabies, contagious rashes, etc.) Numerous cases of pregnancy related diseases",No,,,,,,No,,Cost of healthcare was too high No qualified healthcare professionals,Yes,Yes,No households (0%),Limited access to food due to security constraints,Yes,No,,,Unskilled wage labour,Increased competition for jobs; not enough jobs for everyone,10,Yes,1,Don't know,Yes,1,Don't know,15,"Limited economic resources (e.g. to pay for school fees, uniform, transport, books, etc)",Nearly all children (75%-99%),Children with disabilities,None,Don't know,No,Yes,Don't know,Don't know,No,Less than half (25%-49%),10,66849439,527b3596-ea47-41d7-b90b-219e746fa5aa,2019-09-05T16:03:05,,122,?? ?????,IQG16Q06N01,IQG16Q06,IQG16
Al-Amirya-Albu Jaber,Sector 1,Al-Anbar,Al-Falluja,Al-Amirya,Dispersed settlements,Cluster,4,33.11985535,44.04292915,IDP households are dispered,10/1/2014,10/1/2014,120,720,225,250,150,15,2,1,13,50,50,25,Babylon Anbar,Musayab,Jwrf Al Sakhr,10/1/2014,Stay at site,Don't know,Don't know,Tent Unfinished and abandoned Residential building,Nearly all shelters (75-99%),"Improve structural stability of the building (signs of failure such as leaning walls, big cracks and bends in structural components  - beam, slab, column, rafter, purlin and wall risk of falling debris) Improve basic infrastructures and utilities (access to electricity, cooking and bathing/toilet  facilities) Protect from climatic conditions (leaking roof, floor not insulated, opening on the walls, broken windows, lack of ventilation, missing heating system, etc.)",Less than a quarter (1%-24%),No tenancy agreement,No,,Don't know,No,"Yes, without any problem",Nearly all have access (75%-99%),Poor wiring Overloaded circuits Electrical sockets near water,None,Neither present in or around the site,"Cash Food assistance Health services i.e. mobile clinics, pre or post-natal appointments",Yes,Food assistance,Government assistance,No,Purchase water from shop,No,No,,,,Communal latrines,Communal showers,No,No,No,Yes,None,Yes,Al Batra,No,No,Yes,No,Yes,Bazez,No qualified healthcare professionals Facility not equiped to deal with the problem Faciltiies were too far away Medication not available,No,No,No households (0%),"Limited access to food due to limited economic resources Available food is of low quality Limited access to food due to physical/logistical constraints (e.g. damaged roads, no vehicles, long distance)",Yes,Yes,5,Everything needed is available,Smallholder agriculture Commercial agriculture Unskilled agricultural albour Unskilled wage labour,"Available jobs are too far away Only low-skilled, socially degrading or low-paid jobs are available",65,Yes,1,Yes,Yes,6,Yes,90,Not enough schools or classrooms Physical/ logistical constraints,Less than a quarter (1%-24%),Female middle school Female high school Male high school,None,No,No,Yes,No,No,No,No households (0%),15,69374228,fa92c0e8-fab0-43a1-93ff-3ce26acd7ce5,#N/A,2019-09-27T13:41:54,,????????,IQG01Q01N01,IQG01Q01,IQG01
Al-Huraimat - Al-Ajeer Health Center,Albu Jwad,Al-Anbar,Al-Falluja,Al-Amirya,Dispersed settlements,Cluster,5,33.15104356,43.99761843,IDP households are dispered,10/1/2014,10/1/2014,225,1200,500,315,215,8,1,2,30,30,20,10,Babylon Anbar,Musayab,Jwrf Al Sakhr,9/1/2014,Stay at site,Stay at site,"Security concerns: Lack of security forces Security concerns: Presence of explosive hazards (mines, bombs, IEDs) No financial means to return and restart Lack of livelihood/income generating activities in AoO",Tent Unfinished and abandoned Residential building,Less than half shelters (25%-49%),"Protect from climatic conditions (leaking roof, floor not insulated, opening on the walls, broken windows, lack of ventilation, missing heating system, etc.) Improve basic infrastructures and utilities (access to electricity, cooking and bathing/toilet  facilities) Improve structural stability of the building (signs of failure such as leaning walls, big cracks and bends in structural components  - beam, slab, column, rafter, purlin and wall risk of falling debris)",No households (0%),No tenancy agreement,No,,Don't know,No,"No, the site is not accessible",All have access (100%),Poor wiring Low and uncovered electrical pylons Electrical sockets near water,None,Neither present in or around the site,Cash Winterization items Food assistance,No,,,Don't know,Municipal water network (communal access),Yes,No,,,,Private latrines,Private showers,No,No,No,No,None,Yes,,No,No,Yes,No,No,,No qualified healthcare professionals Facility not equiped to deal with the problem Faciltiies were too far away,No,No,No households (0%),None,Yes,No,,,Smallholder agriculture Commercial agriculture Unskilled agricultural albour,None,20,Yes,1,Yes,Yes,1,Yes,95,Not enough schools or classrooms,Less than a quarter (1%-24%),Female middle school Female high school Male high school Children with disabilities,None,No,No,Yes,No,No,No,Less than a quarter (1%-24%),17,69374240,0368a6c1-5809-4a34-981c-0d83f0a1fba3,#N/A,2019-09-27T13:41:56,,????????,IQG01Q01N01,IQG01Q01,IQG01
Balif - West Balif,Balef,Ninewa,Sinjar,Al-Shamal,Dispersed settlements,Single,,36.41064146,41.69387564,IDP households are clustered together,4/1/2016,9/1/2017,133,750,390,230,160,18,6,15,3,12,25,8,Ninewa,Sinjar,Most of them was Al Qahtanya Q.,8/1/2014,Stay at site,Stay at site,Security concerns: Fear of discrimination No financial means to return and restart Lack of livelihood/income generating activities in AoO House has been damaged/destroyed Living conditions are better in the area of displacement,Unfinished and abandoned Residential building House,Less than half shelters (25%-49%),"Protect from climatic conditions (leaking roof, floor not insulated, opening on the walls, broken windows, lack of ventilation, missing heating system, etc.) Improve basic infrastructures and utilities (access to electricity, cooking and bathing/toilet  facilities)",No households (0%),No tenancy agreement,Yes,Private owner,Request to vacate from owner of building/land,Yes,"Yes, but with difficulty (steep routes, too many stairs, etc.)",All have access (100%),Poor wiring,None,Neither present in or around the site,"In-kind education i.e. books, stationary etc. Education services i.e. informal education or remedial classes Cash for Work activities",No,,,No,Connected to a borehole or well with functioning pump,Yes,No,,,,Public latrines Private latrines,Private showers,No,Yes,Yes,No,"Numerous cases of diarrhea Skin diseases (scabies, contagious rashes, etc.)",No,,,,,,Yes,Shamal District,No qualified healthcare professionals Insufficient funds to purchase treatment/ medication Medication not available,Yes,No,Less than a quarter (1%-24%),"Limited access to food due to physical/logistical constraints (e.g. damaged roads, no vehicles, long distance)",Yes,Yes,4,Basic food items Hygiene items,Commercial agriculture Smallholder agriculture Casual unskilled labour,"Only low-skilled, socially degrading or low-paid jobs are available Lack of family/personal connections",50,No,,,No,,,75,Not enough schools or classrooms Long distance to travel to school,Less than a quarter (1%-24%),Children with disabilities Female high school,No money for transportation cost,Yes,No,Yes,No,No,Yes,Less than a quarter (1%-24%),5,69679825,90b5e523-bf14-447b-9aa7-315118505ba5,2019-09-30T17:29:46,,310,??????,IQG15Q07N02,IQG15Q07,IQG15
Sardashty - Topal,Twbal,Ninewa,Sinjar,Al-Shamal,Dispersed settlements,Cluster,3,36.37430096,41.74277466,IDP households are dispered,9/1/2014,12/1/2014,180,1000,530,250,145,25,11,16,18,25,40,17,Ninewa,Sinjar,Most of them was Al Qahtanya Q.,8/1/2014,Return to AoO,Return to AoO,,"House Non-Residential structure (garage, farm House, shop) Unfinished and abandoned Residential building Tent",Most shelters (50%-74%),"Improve safety and security (shelter located in an insecure/ isolated area, shelter not solid enough to offer protection from intruders, not fenced, without security of tenure, etc",No households (0%),No tenancy agreement,No,,Request to vacate from owner of building/land,Yes,"No, the site is not accessible",Less than half (25%-50%),Low and uncovered electrical pylons Electrical sockets near water Overloaded circuits,None,Neither present in or around the site,Food assistance Cash for Work activities Cash,Yes,Food assistance,Government assistance Local NGO,No,Municipal water network (private access),Yes,No,,,,Communal latrines,Public showers Private showers,Yes,Yes,Yes,No,"Numerous cases of diarrhea Skin diseases (scabies, contagious rashes, etc.)",Yes,Sardashty,Yes,No,Don't know,Yes,Yes,Sardashty - Kulka,Cost of healthcare was too high No qualified healthcare professionals,Yes,Yes,Less than a quarter (1%-24%),"Limited access to food due to physical/logistical constraints (e.g. damaged roads, no vehicles, long distance) Agricultural/livestock production is disrupted Available food is of low quality",Don't know,Yes,5,Kerosene Hygiene items,Smallholder agriculture Public security official,Available jobs are too far away Lack of family/personal connections,20,Yes,2,No,No,,Yes,65,Not enough schools or classrooms Not enough teachers Physical/ logistical constraints Long distance to travel to school,Less than half (25%-49%),Female middle school Children with disabilities,No money for transportation cost,Yes,No,Yes,Don't know,No,Yes,Less than half (25%-49%),10,69679827,f1ac8f97-1fb5-4a54-aab2-e0e452afc56d,2019-09-30T17:29:47,,311,??????,IQG15Q07N02,IQG15Q07,IQG15
Sharaf Alddin - Sharafadin Camp,Sharafadin Camp,Ninewa,Sinjar,Al-Shamal,Dispersed settlements,Cluster,3,36.43256927,41.86927987,IDP households are clustered together,8/1/2015,8/1/2015,120,640,285,78,110,5,5,12,3,6,18,8,Ninewa,Mosul,Burk Q.,8/1/2014,Stay at site,Stay at site,"Security concerns: Presence of explosive hazards (mines, bombs, IEDs) Household assets have been damaged/stolen Local markets are not functioning",Damaged Residential building House,Less than half shelters (25%-49%),"Protection from hazards (contamination from explosive remnants of war, land at risk of flooding or landslides, solid waste dumping site, fire risks, etc.)",No households (0%),We own the Land,No,,Request to vacate from owner of building/land,No,"Yes, without any problem",Nearly all have access (75%-99%),No electricity supply to the whole site,None,Neither present in or around the site,"Cash Cash for Work activities In-kind education i.e. books, stationary etc.",No,,,Don't know,Municipal water network (private access),Yes,No,,,,Private latrines,Private showers,No,Yes,No,Don't know,Numerous cases of pregnancy related diseases Numerous trauma-related injuries,Yes,Bwrk,Yes,No,No,No,Yes,Bwrk Q.,No qualified healthcare professionals Medication not available Facilities not open,Yes,Yes,Less than a quarter (1%-24%),Limited access to food due to security constraints Limited access to food due to limited economic resources,Yes,No,,,Commercial agriculture Smallholder agriculture Unskilled agricultural albour Public security official,"Available jobs are too far away Only low-skilled, socially degrading or low-paid jobs are available Underqualified for available jobs",20,Yes,2,Yes,No,,No,55,Not enough schools or classrooms Not enough teachers,Less than a quarter (1%-24%),Female primary school Female middle school,None,No,No,Yes,No,Don't know,Yes,Less than half (25%-49%),15,69679830,bf15457b-c232-4c0b-b89c-1113fb30fb6f,2019-09-30T17:29:48,,312,??????,IQG15Q07N02,IQG15Q07,IQG15
Melik,Qabany,Ninewa,Sinjar,Al-Shamal,Dispersed settlements,Single,,36.37675167,41.702085,IDP households are dispered,5/1/2015,2/1/2016,23,140,70,27,45,0,0,0,0,4,10,5,Ninewa,Sinjar,Sanjar-Al Qahtnya District,8/1/2014,Return to AoO,Return to AoO,,Tent,All shelters (100%),"Protection from hazards (contamination from explosive remnants of war, land at risk of flooding or landslides, solid waste dumping site, fire risks, etc.) Improve safety and security (shelter located in an insecure/ isolated area, shelter not solid enough to offer protection from intruders, not fenced, without security of tenure, etc Protect from climatic conditions (leaking roof, floor not insulated, opening on the walls, broken windows, lack of ventilation, missing heating system, etc.)",No households (0%),No tenancy agreement,Don't know,,Request to vacate from owner of building/land,Yes,"Yes, without any problem",Most have access (50%-74%),Poor wiring,None,Neither present in or around the site,Food assistance Winterization items Cash,No,,,Yes,Municipal water network (communal access),Yes,Yes,Nearly all have access (75%-99%),2,Purchase from truck,Private latrines,Private showers,No,Don't know,Yes,No,Numerous cases of fever Numerous cases of diarrhea Numerous cases of respiratory diseases Numerous cases of pregnancy related diseases,Don't know,,,,,,No,,Cost of healthcare was too high No qualified healthcare professionals Facility not equiped to deal with the problem Insufficient funds to purchase treatment/ medication Medication not available Refused treatment No transport available,Yes,Yes,Less than half (25%-49%),"No cooking facilities Limited access to food due to physical/logistical constraints (e.g. damaged roads, no vehicles, long distance) Limited access to food due to security constraints",No,No,,,Smallholder agriculture Self-employment Public sector/ civil servant Public security official,Increased competition for jobs; not enough jobs for everyone Available jobs are too far away Lack of family/personal connections,5,No,,,No,,,45,Not enough schools or classrooms Not enough teachers Not enough learning materials Physical/ logistical constraints Long distance to travel to school Don't have necessary documentation,Less than a quarter (1%-24%),Children with disabilities Female primary school Male primary school,No money for transportation cost Community-imposed movement restrictions,No,No,Yes,No,No,Yes,Nearly all households (75%-99%),10,69694271,28bbb156-ef13-4769-92a4-751cc1aaad81,2019-09-30T19:18:58,,313,??????,IQG15Q07N02,IQG15Q07,IQG15
